No,区分,施設名,大分類,中分類,小分類,細分類,所在地,経度,緯度
582,放課後児童クラブ（民営）,美園北放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,緑区美園2-12-11,139.72349826,35.90136963
583,放課後児童クラブ（民営）,尾間木放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,緑区東浦和8‐11‐5,139.69658808,35.86899775
584,放課後児童クラブ（民営）,すみれ放課後児童クラブ,市民利用施設,保健福祉系施設,児童福祉施設,放課後児童クラブ（民営）,中央区本町東5-17-25,139.62038837,35.89049969
586,児童福祉施設その他,児童養護施設カルテット,市民利用施設,保健福祉系施設,児童福祉施設,児童養護施設,桜区大字下大久保字五反田1542番4,139.601033,35.858206
588,児童福祉施設その他,子ども家庭総合センター,市民利用施設,保健福祉系施設,児童福祉施設,子ども総合センター,浦和区上木崎４丁目4番10号,139.643931,35.885712
589,庁舎等,さいたま市役所,行政施設,行政系施設,庁舎等・その他施設,本庁舎,浦和区常盤６丁目4番4,139.645496,35.861648
590,庁舎等,ときわ会館,行政施設,行政系施設,庁舎等・その他施設,本庁舎,浦和区常盤６丁目4番21,139.64414,35.86174
591,庁舎等,西区役所,行政施設,行政系施設,庁舎等・その他施設,区役所,西区西大宮３丁目4番地2,139.579655,35.925224
592,庁舎等,北区役所,行政施設,行政系施設,庁舎等・その他施設,区役所,北区宮原町１丁目852番1,139.620229,35.93151
593,庁舎等,旧大宮区役所,行政施設,行政系施設,庁舎等・その他施設,区役所,大宮区大門町３丁目1番,139.629093,35.906381
594,庁舎等,大宮区役所,行政施設,行政系施設,庁舎等・その他施設,区役所,大宮区吉敷町１丁目124番地１,139.630439,35.901754
595,庁舎等,見沼区役所,行政施設,行政系施設,庁舎等・その他施設,区役所,見沼区堀崎町12番36,139.655026,35.935483
596,庁舎等,中央区役所,行政施設,行政系施設,庁舎等・その他施設,区役所,中央区下落合５丁目7番10号,139.626177,35.883964
597,庁舎等,桜区役所,行政施設,行政系施設,庁舎等・その他施設,区役所,桜区道場４丁目3番1,139.610229,35.856053
598,庁舎等,浦和区役所,行政施設,行政系施設,庁舎等・その他施設,区役所,浦和区常盤６丁目4番4,139.645496,35.861648
599,庁舎等,南区役所,行政施設,行政系施設,庁舎等・その他施設,区役所,南区別所７丁目20番1,139.645361,35.845312
600,庁舎等,緑区役所,行政施設,行政系施設,庁舎等・その他施設,区役所,緑区大字中尾975番1,139.684053,35.871095
601,庁舎等,岩槻区役所,行政施設,行政系施設,庁舎等・その他施設,区役所,岩槻区本町３丁目2番5,139.694396,35.949908
602,庁舎等,馬宮支所,行政施設,行政系施設,庁舎等・その他施設,支所,西区大字西遊馬236番2,139.573128,35.90365
603,庁舎等,植水支所,行政施設,行政系施設,庁舎等・その他施設,支所,西区大字中野林173番地2,139.591685,35.893938
604,庁舎等,三橋支所,行政施設,行政系施設,庁舎等・その他施設,支所,西区三橋６丁目642番4,139.591937,35.917659
605,庁舎等,日進支所,行政施設,行政系施設,庁舎等・その他施設,支所,北区日進町２丁目965番地,139.606011,35.924416
606,庁舎等,宮原支所,行政施設,行政系施設,庁舎等・その他施設,支所,北区宮原町３丁目824番2,139.609699,35.940644
607,庁舎等,大宮駅支所,行政施設,行政系施設,庁舎等・その他施設,支所,大宮区錦町630番,139.62255,35.90704
608,庁舎等,片柳支所,行政施設,行政系施設,庁舎等・その他施設,支所,見沼区大字東新井117番2,139.670831,35.909734
609,庁舎等,七里支所,行政施設,行政系施設,庁舎等・その他施設,支所,見沼区大字東門前379番地1,139.672494,35.932817
610,庁舎等,春岡支所,行政施設,行政系施設,庁舎等・その他施設,支所,見沼区深作１丁目5番地１,139.664369,35.950796
611,庁舎等,東大宮支所,行政施設,行政系施設,庁舎等・その他施設,支所,見沼区東大宮４丁目31番1,139.637355,35.949533
612,庁舎等,土合支所,行政施設,行政系施設,庁舎等・その他施設,支所,桜区西堀４丁目2番35,139.627784,35.85179
613,庁舎等,大久保支所,行政施設,行政系施設,庁舎等・その他施設,支所,桜区大字五関839番地2,139.597827,35.870238
614,庁舎等,谷田支所,行政施設,行政系施設,庁舎等・その他施設,支所,南区大字太田窪1277番地1,139.675915,35.859815
615,庁舎等,三室支所,行政施設,行政系施設,庁舎等・その他施設,支所,緑区大字三室1946番地5,139.681575,35.883143
616,庁舎等,美園支所,行政施設,行政系施設,庁舎等・その他施設,支所,緑区美園４丁目１９番地１,139.72739,35.89497
617,庁舎等,東岩槻支所,行政施設,行政系施設,庁舎等・その他施設,支所,岩槻区東岩槻６丁目6番,139.716358,35.96204
618,庁舎等,西浦和駅市民の窓口,行政施設,行政系施設,庁舎等・その他施設,市民の窓口,桜区田島５丁目9番15,139.627384,35.843783
619,庁舎等,浦和駅市民の窓口,行政施設,行政系施設,庁舎等・その他施設,市民の窓口,浦和区高砂１丁目16番12,139.657017,35.85941
620,庁舎等,北浦和駅市民の窓口,行政施設,行政系施設,庁舎等・その他施設,市民の窓口,浦和区北浦和３丁目3番1,139.645951,35.872566
621,庁舎等,与野駅市民の窓口,行政施設,行政系施設,庁舎等・その他施設,市民の窓口,浦和区上木崎２丁目2番2,139.639783,35.885782
622,庁舎等,南浦和駅市民の窓口,行政施設,行政系施設,庁舎等・その他施設,市民の窓口,南区南浦和２丁目37番1号,139.669363,35.846936
623,庁舎等,東浦和駅市民の窓口,行政施設,行政系施設,庁舎等・その他施設,市民の窓口,緑区東浦和４丁目1番16,139.703443,35.866254
624,庁舎等,原山市民の窓口,行政施設,行政系施設,庁舎等・その他施設,市民の窓口,緑区原山２丁目33番7,139.668335,35.872078
625,庁舎等,山崎市民の窓口,行政施設,行政系施設,庁舎等・その他施設,市民の窓口,緑区大字三室223番8,139.667601,35.889809
626,庁舎等,府内市民の窓口,行政施設,行政系施設,庁舎等・その他施設,市民の窓口,岩槻区府内１丁目8番1,139.710875,35.943826
627,庁舎等その他,東京事務所,行政施設,行政系施設,庁舎等・その他施設,事務所・事業所等,東京都千代田区平河町2丁目4番1号,139.738802,35.681159
628,庁舎等その他,文書庫,行政施設,行政系施設,庁舎等・その他施設,事務所・事業所等,岩槻区仲町１丁目17番3,139.703998,35.948032
629,庁舎等その他,職員研修センター,行政施設,行政系施設,庁舎等・その他施設,事務所・事業所等,見沼区堀崎町48番1,139.657047,35.934856
630,庁舎等その他,大宮災害対策庫,行政施設,行政系施設,庁舎等・その他施設,事務所・事業所等,北区本郷町286番,139.630513,35.939118
